log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
four_oh_four,3,404 Error,2015-11-11 00:38:44,2015-11-10 22:38:44,188.143.233.220,,,/wp-xmpp.php,http://selectsifiso.net/wp-content/plugins/akismet/akismet.php,query_string=
four_oh_four,3,404 Error,2015-11-11 00:38:46,2015-11-10 22:38:46,188.143.233.220,,,/old_site_bkp/beta/wp-content/uploads/2012/08/Root/eha.php,http://selectsifiso.net/wp-content/plugins/akismet/akismet.php,query_string=
four_oh_four,3,404 Error,2015-11-11 00:38:48,2015-11-10 22:38:48,188.143.233.220,,,/old_site_bkp/wp-content/upgrade/BoxTheme/satan.php,http://selectsifiso.net/wp-content/plugins/akismet/akismet.php,query_string=
four_oh_four,3,404 Error,2015-11-11 00:38:51,2015-11-10 22:38:51,188.143.233.220,,,/cpanel.php,http://selectsifiso.net/wp-content/plugins/akismet/akismet.php,query_string=
four_oh_four,3,404 Error,2015-11-11 04:03:08,2015-11-11 02:03:08,183.136.220.242,,,http://www.selectsifiso.net/,http://www.selectsifiso.net/,query_string=p=317
four_oh_four,3,404 Error,2015-11-11 11:18:16,2015-11-11 09:18:16,40.77.167.32,,,/img/apps/pd-box.gif,,query_string=
four_oh_four,3,404 Error,2015-11-13 15:44:44,2015-11-13 13:44:44,46.185.84.181,,,/admin.php,,query_string=
four_oh_four,3,404 Error,2015-11-13 22:12:14,2015-11-13 20:12:14,157.55.39.139,,,/,,query_string=tag=oledb-destination&paged=3
four_oh_four,3,404 Error,2015-11-13 22:36:50,2015-11-13 20:36:50,66.249.69.83,,,/author/feed/,,query_string=
four_oh_four,3,404 Error,2015-11-14 02:24:58,2015-11-14 00:24:58,192.169.112.237,,,/,,query_string=p=1
four_oh_four,3,404 Error,2015-11-14 11:39:41,2015-11-14 09:39:41,188.116.183.23,,,/robotstxt.txt,,query_string=
four_oh_four,3,404 Error,2015-11-14 20:24:41,2015-11-14 18:24:41,221.6.206.114,,,/,http://www.selectsifiso.net/,query_string=p=2
