log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
four_oh_four,3,404 Error,2015-12-04 14:24:10,2015-12-04 12:24:10,180.153.163.211,,,/s7.addthis.com/js/300/addthis_widget.js,http://www.selectsifiso.net//s7.addthis.com/js/300/addthis_widget.js#pubid=ra-554794b55a06e901,query_string=
four_oh_four,3,404 Error,2015-12-05 14:23:21,2015-12-05 12:23:21,5.61.39.5,,,/wp-includes/pomo/was-wp.php,,query_string=
four_oh_four,3,404 Error,2015-12-06 20:07:42,2015-12-06 18:07:42,208.109.54.127,,,/,,query_string=gf_page=upload
four_oh_four,3,404 Error,2015-12-07 08:49:07,2015-12-07 06:49:07,112.64.235.245,,,/sharecdn.social9.com/v1/social9.min.js,http://www.selectsifiso.net//sharecdn.social9.com/v1/social9.min.js?ver=258255f4684801dddafcf6c69a49e000,query_string=ver=258255f4684801dddafcf6c69a49e000
four_oh_four,3,404 Error,2015-12-07 08:49:09,2015-12-07 06:49:09,112.64.235.245,,,/s7.addthis.com/js/300/addthis_widget.js,http://www.selectsifiso.net//s7.addthis.com/js/300/addthis_widget.js#pubid=ra-554794b55a06e901,query_string=
four_oh_four,3,404 Error,2015-12-07 11:12:15,2015-12-07 09:12:15,217.69.133.239,,,/,,query_string=page_id=160
four_oh_four,3,404 Error,2015-12-07 19:03:41,2015-12-07 17:03:41,40.77.167.21,,,/,,query_string=page_id=160
four_oh_four,3,404 Error,2015-12-08 00:39:14,2015-12-07 22:39:14,91.200.12.136,,,/execute-process-task-compress-file-using-7-zip/#comment-47168,,query_string=
four_oh_four,3,404 Error,2015-12-08 16:34:33,2015-12-08 14:34:33,178.211.183.204,,,/license.php,http://www.selectsifiso.net/license.php,query_string=
four_oh_four,3,404 Error,2015-12-08 20:44:28,2015-12-08 18:44:28,52.53.245.147,,,/admin.php,,query_string=
four_oh_four,3,404 Error,2015-12-08 23:00:55,2015-12-08 21:00:55,195.154.251.131,,,/uploadify/uploadify.php,http://selectsifiso.net/uploadify/uploadify.php,query_string=
four_oh_four,3,404 Error,2015-12-08 23:00:59,2015-12-08 21:00:59,195.154.251.131,,,/samplc.php,,query_string=
four_oh_four,3,404 Error,2015-12-08 23:01:11,2015-12-08 21:01:11,195.154.251.131,,,/php-ofc-library/ofc_upload_image.php,http://selectsifiso.net/php-ofc-library/ofc_upload_image.php?name=sample.php,query_string=name=sample.php
four_oh_four,3,404 Error,2015-12-08 23:01:13,2015-12-08 21:01:13,195.154.251.131,,,/tmp-upload-images/samplc.php,,query_string=
four_oh_four,3,404 Error,2015-12-08 23:01:20,2015-12-08 21:01:20,195.154.251.131,,,/components/com_creativecontactform/fileupload/index.php,http://selectsifiso.net/components/com_creativecontactform/fileupload/index.php,query_string=
four_oh_four,3,404 Error,2015-12-08 23:01:22,2015-12-08 21:01:22,195.154.251.131,,,/components/com_creativecontactform/fileupload/files/samplc.php,,query_string=
four_oh_four,3,404 Error,2015-12-08 23:01:38,2015-12-08 21:01:38,195.154.251.131,,,/server/php/,http://selectsifiso.net/server/php/,query_string=
four_oh_four,3,404 Error,2015-12-08 23:01:41,2015-12-08 21:01:41,195.154.251.131,,,/server/php/files/samplc.php,,query_string=
four_oh_four,3,404 Error,2015-12-08 23:09:11,2015-12-08 21:09:11,199.127.82.11,,,/tfsoutlookconnector/TFS.Outlook.Connector.vsto,,query_string=
four_oh_four,3,404 Error,2015-12-09 00:43:20,2015-12-08 22:43:20,8.37.70.123,,,/tfsoutlookconnector/TFS.Outlook.Connector.vsto,,query_string=
four_oh_four,3,404 Error,2015-12-09 05:59:30,2015-12-09 03:59:30,40.77.167.21,,,/scripts/imageSwap.js,,query_string=1703806667
four_oh_four,3,404 Error,2015-12-09 05:59:31,2015-12-09 03:59:31,40.77.167.21,,,/scripts/siteUtil.js,,query_string=1703806667
four_oh_four,3,404 Error,2015-12-11 09:33:26,2015-12-11 07:33:26,40.77.167.21,,,/,,query_string=page_id=160
four_oh_four,3,404 Error,2015-12-11 11:39:25,2015-12-11 09:39:25,117.177.250.152,,,/,http://www.selectsifiso.net/,query_string=p=3
four_oh_four,3,404 Error,2015-12-11 21:30:53,2015-12-11 19:30:53,66.249.73.249,,,/,,query_string=p=34
four_oh_four,3,404 Error,2015-12-12 13:29:19,2015-12-12 11:29:19,101.226.33.226,,,/s7.addthis.com/js/300/addthis_widget.js,http://www.selectsifiso.net//s7.addthis.com/js/300/addthis_widget.js#pubid=ra-554794b55a06e901,query_string=
four_oh_four,3,404 Error,2015-12-12 13:29:20,2015-12-12 11:29:20,101.226.33.226,,,/sharecdn.social9.com/v1/social9.min.js,http://www.selectsifiso.net//sharecdn.social9.com/v1/social9.min.js?ver=e48dce06b6039f1469f966c697722c40,query_string=ver=e48dce06b6039f1469f966c697722c40
four_oh_four,3,404 Error,2015-12-12 15:37:33,2015-12-12 13:37:33,117.136.234.5,,,http://www.selectsifiso.net/,http://www.selectsifiso.net/,query_string=p=397
four_oh_four,3,404 Error,2015-12-13 07:25:49,2015-12-13 05:25:49,204.16.0.243,,,/tag/destination-component/&amp;sa=U&amp;ved=0ahUKEwjii7bmg9jJAhXLXSwKHZOSC9M4rAIQFgjEAzBU&amp;usg=AFQjCNF4KH3geE7WzmPjlAbgOMx1LrBR8g/,,query_string=option=com_myblog&task=ajaxupload
four_oh_four,3,404 Error,2015-12-13 07:28:31,2015-12-13 05:28:31,204.16.0.243,,,/tag/destination-component/&amp;sa=U&amp;ved=0ahUKEwjxoefng9jJAhXFBywKHbvSCpo43gIQFgh2MBU&amp;usg=AFQjCNF4KH3geE7WzmPjlAbgOMx1LrBR8g/,,query_string=option=com_myblog&task=ajaxupload
four_oh_four,3,404 Error,2015-12-13 16:20:08,2015-12-13 14:20:08,91.200.12.106,,,/duplicate-mysql-table-using-phpmyadmin/#comment-47185,,query_string=
four_oh_four,3,404 Error,2015-12-13 19:31:48,2015-12-13 17:31:48,62.210.250.218,,,/wordpress/,http://kairosathletics.com/wordpress/,query_string=
four_oh_four,3,404 Error,2015-12-15 02:14:50,2015-12-15 00:14:50,91.200.12.143,,,/duplicate-mysql-table-using-phpmyadmin/#comment-47186,,query_string=
four_oh_four,3,404 Error,2015-12-16 12:44:07,2015-12-16 10:44:07,27.154.45.76,,,/webmanage/fckeditor/editor/filemanager/browser/default/connectors/asp/connector.asp,http://www.selectsifiso.net/webmanage/fckeditor/editor/filemanager/browser/default/connectors/asp/connector.asp,query_string=
four_oh_four,3,404 Error,2015-12-16 12:44:10,2015-12-16 10:44:10,27.154.45.76,,,/editor/editor/filemanager/browser/default/connectors/asp/connector.asp,http://www.selectsifiso.net/editor/editor/filemanager/browser/default/connectors/asp/connector.asp,query_string=
four_oh_four,3,404 Error,2015-12-16 12:44:53,2015-12-16 10:44:53,27.154.45.76,,,/admin/fckeditor/editor/filemanager/browser/default/connectors/asp/connector.asp,http://www.selectsifiso.net/admin/fckeditor/editor/filemanager/browser/default/connectors/asp/connector.asp,query_string=
four_oh_four,3,404 Error,2015-12-16 12:44:55,2015-12-16 10:44:55,27.154.45.76,,,/editor/filemanager/browser/default/connectors/asp/connector.asp,http://www.selectsifiso.net/editor/filemanager/browser/default/connectors/asp/connector.asp,query_string=
four_oh_four,3,404 Error,2015-12-16 12:44:56,2015-12-16 10:44:56,27.154.45.76,,,/manage/fckeditor/editor/filemanager/browser/default/connectors/asp/connector.asp,http://www.selectsifiso.net/manage/fckeditor/editor/filemanager/browser/default/connectors/asp/connector.asp,query_string=
four_oh_four,3,404 Error,2015-12-16 13:20:24,2015-12-16 11:20:24,101.226.89.117,,,/s7.addthis.com/js/300/addthis_widget.js,http://www.selectsifiso.net//s7.addthis.com/js/300/addthis_widget.js#pubid=ra-554794b55a06e901,query_string=
four_oh_four,3,404 Error,2015-12-16 13:20:34,2015-12-16 11:20:34,101.226.89.117,,,/sharecdn.social9.com/v1/social9.min.js,http://www.selectsifiso.net//sharecdn.social9.com/v1/social9.min.js?ver=e48dce06b6039f1469f966c697722c40,query_string=ver=e48dce06b6039f1469f966c697722c40
four_oh_four,3,404 Error,2015-12-16 13:20:35,2015-12-16 11:20:35,101.226.89.117,,,/s7.addthis.com/js/300/addthis_widget.js,http://www.selectsifiso.net//s7.addthis.com/js/300/addthis_widget.js#pubid=ra-554794b55a06e901,query_string=
four_oh_four,3,404 Error,2015-12-17 01:22:47,2015-12-16 23:22:47,104.236.22.218,,,/joomla/libraries/simplepie/README.txt,,query_string=
four_oh_four,3,404 Error,2015-12-17 12:20:15,2015-12-17 10:20:15,85.93.89.97,,,/images/stories/petx.php,,query_string=baca
four_oh_four,3,404 Error,2015-12-17 12:20:22,2015-12-17 10:20:22,85.93.89.97,,,/images/stories/explore.php,,query_string=baca
four_oh_four,3,404 Error,2015-12-17 12:20:45,2015-12-17 10:20:45,85.93.89.97,,,/images/stories/magic.php.png,,query_string=
four_oh_four,3,404 Error,2015-12-17 12:20:47,2015-12-17 10:20:47,85.93.89.97,,,/page/2/images/stories/petx.php,,query_string=baca
four_oh_four,3,404 Error,2015-12-17 12:20:51,2015-12-17 10:20:51,85.93.89.97,,,/page/2/images/stories/explore.php,,query_string=baca
four_oh_four,3,404 Error,2015-12-17 12:21:13,2015-12-17 10:21:13,85.93.89.97,,,/page/2/images/stories/magic.php.png,,query_string=
four_oh_four,3,404 Error,2015-12-17 13:01:01,2015-12-17 11:01:01,123.56.100.105,,,/,http://www.selectsifiso.net/,query_string=p=5
four_oh_four,3,404 Error,2015-12-17 23:59:29,2015-12-17 21:59:29,117.136.234.12,,,http://www.selectsifiso.net/,http://www.selectsifiso.net/,query_string=p=1043
four_oh_four,3,404 Error,2015-12-18 05:13:26,2015-12-18 03:13:26,69.194.234.51,,,/logs/parser.php,,query_string=opn
four_oh_four,3,404 Error,2015-12-18 05:13:32,2015-12-18 03:13:32,69.194.234.51,,,/modules/mod_banners/,,query_string=opn
four_oh_four,3,404 Error,2015-12-18 05:13:47,2015-12-18 03:13:47,69.194.234.51,,,/images/parser.php.xxxjpg,,query_string=opn
four_oh_four,3,404 Error,2015-12-18 05:13:53,2015-12-18 03:13:53,69.194.234.51,,,/images/stories/parser.php.xxxjpg,,query_string=opn
four_oh_four,3,404 Error,2015-12-18 05:13:59,2015-12-18 03:13:59,69.194.234.51,,,/images/0/parser.php.xxxjpg,,query_string=opn
four_oh_four,3,404 Error,2015-12-18 05:14:06,2015-12-18 03:14:06,69.194.234.51,,,/images/blog/parser.php.xxxjpg,,query_string=opn
four_oh_four,3,404 Error,2015-12-18 05:14:12,2015-12-18 03:14:12,69.194.234.51,,,/images/0/yena.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:14:19,2015-12-18 03:14:19,69.194.234.51,,,/images/yena.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:14:26,2015-12-18 03:14:26,69.194.234.51,,,/images/blog/yena.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:14:32,2015-12-18 03:14:32,69.194.234.51,,,/images/stories/yena.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:14:39,2015-12-18 03:14:39,69.194.234.51,,,/images/0/images.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:14:47,2015-12-18 03:14:47,69.194.234.51,,,/images/images.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:14:54,2015-12-18 03:14:54,69.194.234.51,,,/images/bogel.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:15:00,2015-12-18 03:15:00,69.194.234.51,,,/images/xx.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:15:07,2015-12-18 03:15:07,69.194.234.51,,,/images/0/xx.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:15:13,2015-12-18 03:15:13,69.194.234.51,,,/images/blog/xx.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:15:19,2015-12-18 03:15:19,69.194.234.51,,,/images/stories/xx.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:15:25,2015-12-18 03:15:25,69.194.234.51,,,/images/0/bogel.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:15:34,2015-12-18 03:15:34,69.194.234.51,,,/images/blog/bogel.PhP.pjpeg,,query_string=
four_oh_four,3,404 Error,2015-12-18 05:15:34,2015-12-18 03:15:34,69.194.234.51,,,/tag/destination-/,,query_string=option=com_myblog&task=ajaxupload
lockout,10,Host or User Lockout,2015-12-18 05:15:34,2015-12-18 03:15:34,69.194.234.51,,,,,expires=2015-12-18 05:30:34expires_gmt=2015-12-18 03:30:34type=four_oh_four
four_oh_four,3,404 Error,2015-12-18 08:00:12,2015-12-18 06:00:12,62.210.190.10,,,/wpfoot1.php,http://www.googlebot.com/bot.html,query_string=
four_oh_four,3,404 Error,2015-12-18 13:24:00,2015-12-18 11:24:00,101.226.66.193,,,/s7.addthis.com/js/300/addthis_widget.js,http://www.selectsifiso.net//s7.addthis.com/js/300/addthis_widget.js#pubid=ra-554794b55a06e901,query_string=
four_oh_four,3,404 Error,2015-12-18 13:24:01,2015-12-18 11:24:01,101.226.66.193,,,/sharecdn.social9.com/v1/social9.min.js,http://www.selectsifiso.net//sharecdn.social9.com/v1/social9.min.js?ver=e48dce06b6039f1469f966c697722c40,query_string=ver=e48dce06b6039f1469f966c697722c40
four_oh_four,3,404 Error,2015-12-18 13:40:22,2015-12-18 11:40:22,93.114.64.76,,,/tag/destination-component/logs/myluph.phpjdownloads.php,,query_string=url=www.selectsifiso.net/tag/destination-component/
four_oh_four,3,404 Error,2015-12-18 13:40:26,2015-12-18 11:40:26,93.114.64.76,,,/logs/myluph.phpjdownloads.php,,query_string=url=www.selectsifiso.net/
four_oh_four,3,404 Error,2015-12-18 13:40:28,2015-12-18 11:40:28,93.114.64.76,,,/images/jdownloads/screenshots/m.libs.up.php.j,,query_string=clone
four_oh_four,3,404 Error,2015-12-18 13:40:30,2015-12-18 11:40:30,93.114.64.76,,,/tag/destination-component/images/jdownloads/screenshots/m.libs.up.php.j,,query_string=clone
four_oh_four,3,404 Error,2015-12-18 13:40:30,2015-12-18 11:40:30,93.114.64.76,,,/images/recky.php,,query_string=
four_oh_four,3,404 Error,2015-12-18 13:40:32,2015-12-18 11:40:32,93.114.64.76,,,/images/metri.php,,query_string=
four_oh_four,3,404 Error,2015-12-18 13:40:37,2015-12-18 11:40:37,93.114.64.76,,,/tag/destination-component/images/recky.php,,query_string=
four_oh_four,3,404 Error,2015-12-18 13:40:39,2015-12-18 11:40:39,93.114.64.76,,,/images/metri.php,,query_string=
four_oh_four,3,404 Error,2015-12-18 13:40:44,2015-12-18 11:40:44,93.114.64.76,,,/tag/destination-component/images/metri.php,,query_string=
four_oh_four,3,404 Error,2015-12-18 13:40:50,2015-12-18 11:40:50,93.114.64.76,,,/tag/destination-component/images/metri.php,,query_string=
four_oh_four,3,404 Error,2015-12-18 13:46:30,2015-12-18 11:46:30,93.114.64.76,,,/tag/destination-component/logs/myluph.phpjdownloads.php,,query_string=url=www.selectsifiso.net/tag/destination-component/
four_oh_four,3,404 Error,2015-12-18 13:46:37,2015-12-18 11:46:37,93.114.64.76,,,/tag/destination-component/images/jdownloads/screenshots/m.libs.up.php.j,,query_string=clone
four_oh_four,3,404 Error,2015-12-18 13:46:45,2015-12-18 11:46:45,93.114.64.76,,,/tag/destination-component/images/recky.php,,query_string=
four_oh_four,3,404 Error,2015-12-18 13:46:52,2015-12-18 11:46:52,93.114.64.76,,,/tag/destination-component/images/metri.php,,query_string=
four_oh_four,3,404 Error,2015-12-18 13:47:10,2015-12-18 11:47:10,93.114.64.76,,,/tag/destination-component/images/metri.php,,query_string=
four_oh_four,3,404 Error,2015-12-18 13:47:13,2015-12-18 11:47:13,93.114.64.76,,,/images/jdownloads/screenshots/m.libs.up.php.j,,query_string=clone
four_oh_four,3,404 Error,2015-12-18 13:47:56,2015-12-18 11:47:56,93.114.64.76,,,/images/metri.php,,query_string=
four_oh_four,3,404 Error,2015-12-19 11:27:51,2015-12-19 09:27:51,62.192.60.38,,,/,http://www.selectsifiso.net/?cat=127\\\\\\\'A=0,query_string=cat=127\\\\\\\'A=0
four_oh_four,3,404 Error,2015-12-19 17:35:05,2015-12-19 15:35:05,178.150.20.55,,,/wp-includes/pomo/cache_checkexpress.php5,http://selectsifiso.net/wp-includes/pomo/cache_checkexpress.php5,query_string=
four_oh_four,3,404 Error,2015-12-20 02:35:59,2015-12-20 00:35:59,78.135.114.114,,,/admin.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 02:36:03,2015-12-20 00:36:03,78.135.114.114,,,/bitrix/admin/,,query_string=lang=en
four_oh_four,3,404 Error,2015-12-20 02:36:06,2015-12-20 00:36:06,78.135.114.114,,,/admin/login.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 02:36:11,2015-12-20 00:36:11,78.135.114.114,,,/user/,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:00,2015-12-20 02:08:00,177.47.187.20,,,/components/com_jnews/includes/openflashchart/php-ofc-library/ofc_upload_image.php,,query_string=name=mil.php
four_oh_four,3,404 Error,2015-12-20 04:08:02,2015-12-20 02:08:02,177.47.187.20,,,/administrator/components/com_acymailing/inc/openflash/php-ofc-library/ofc_upload_image.php,,query_string=name=mil.php
four_oh_four,3,404 Error,2015-12-20 04:08:02,2015-12-20 02:08:02,177.47.187.20,,,/images/stories/mil.gif,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:04,2015-12-20 02:08:04,177.47.187.20,,,/administrator/components/com_jnewsletter/includes/openflashchart/php-ofc-library/ofc_upload_image.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:06,2015-12-20 02:08:06,177.47.187.20,,,/administrator/components/com_civicrm/civicrm/packages/OpenFlashChart/php-ofc-library/ofc_upload_image.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:08,2015-12-20 02:08:08,177.47.187.20,,,/administrator/components/com_jinc/classes/graphics/php-ofc-library/ofc_upload_image.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:10,2015-12-20 02:08:10,177.47.187.20,,,/administrator/components/com_maianmedia/utilities/charts/php-ofc-library/ofc_upload_image.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:12,2015-12-20 02:08:12,177.47.187.20,,,/administrator/components/com_maian15/charts/php-ofc-library/ofc_upload_image.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:14,2015-12-20 02:08:14,177.47.187.20,,,/administrator/components/com_redmystic/chart/ofc-library/ofc_upload_image.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:14,2015-12-20 02:08:14,177.47.187.20,,,/images/stories/pbot.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:16,2015-12-20 02:08:16,177.47.187.20,,,/administrator/components/com_joomleague/assets/classes/open-flash-chart/ofc_upload_image.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:18,2015-12-20 02:08:18,177.47.187.20,,,/administrator/components/com_bt_portfolio/helpers/uploadify/uploadify.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:23,2015-12-20 02:08:23,177.47.187.20,,,/cfg-contactform-1/inc/upload.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:25,2015-12-20 02:08:25,177.47.187.20,,,/components/com_sexycontactform/fileupload/,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:27,2015-12-20 02:08:27,177.47.187.20,,,/cfg-contactform-2/inc/upload.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:27,2015-12-20 02:08:27,177.47.187.20,,,/components/com_creativecontactform/fileupload/,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:31,2015-12-20 02:08:31,177.47.187.20,,,/cfg-contactform-3/inc/upload.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:32,2015-12-20 02:08:32,177.47.187.20,,,/components/com_hwdvideoshare/assets/uploads/flash/flash_upload.php,,query_string=jqUploader=1
four_oh_four,3,404 Error,2015-12-20 04:08:35,2015-12-20 02:08:35,177.47.187.20,,,/cfg-contactform-4/inc/upload.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:38,2015-12-20 02:08:38,177.47.187.20,,,/cfg-contactform-5/inc/upload.php,,query_string=
four_oh_four,3,404 Error,2015-12-20 04:08:42,2015-12-20 02:08:42,177.47.187.20,,,/cfg-contactform-6/inc/upload.php,,query_string=
lockout,10,Host or User Lockout,2015-12-20 04:08:42,2015-12-20 02:08:42,177.47.187.20,,,,,expires=2015-12-20 04:23:42expires_gmt=2015-12-20 02:23:42type=four_oh_four
away_mode,5,Away Mode Triggered,2015-12-20 05:09:21,2015-12-20 03:09:21,149.210.233.129,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
four_oh_four,3,404 Error,2015-12-20 18:27:45,2015-12-20 16:27:45,144.76.201.69,,,/,,query_string=page_id=160
brute_force,5,Invalid Login Attempt,2015-12-20 18:30:28,2015-12-20 16:30:28,46.119.59.92,admin,,,,
lockout,10,Host or User Lockout,2015-12-20 18:30:28,2015-12-20 16:30:28,46.119.59.92,,,,,expires=2015-12-20 18:45:28expires_gmt=2015-12-20 16:45:28type=brute_force
four_oh_four,3,404 Error,2015-12-21 04:51:48,2015-12-21 02:51:48,66.249.66.33,,,/author/feed/,,query_string=
four_oh_four,3,404 Error,2015-12-21 14:15:38,2015-12-21 12:15:38,82.85.14.105,,,/FCKeditor/_whatsnew.html,,query_string=
four_oh_four,3,404 Error,2015-12-21 14:15:40,2015-12-21 12:15:40,82.85.14.105,,,/Admin/Fckeditor/_whatsnew.html,,query_string=
four_oh_four,3,404 Error,2015-12-21 14:15:42,2015-12-21 12:15:42,82.85.14.105,,,/Editor/Editor/dialog/fck_about.html,,query_string=
four_oh_four,3,404 Error,2015-12-21 22:50:55,2015-12-21 20:50:55,95.178.128.16,,,/wp-includes/pomo/config_options.php,http://selectsifiso.net/wp-includes/pomo/config_options.php,query_string=
away_mode,5,Away Mode Triggered,2015-12-22 00:18:11,2015-12-21 22:18:11,62.210.190.10,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2015-12-22 01:02:31,2015-12-21 23:02:31,185.93.187.49,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
four_oh_four,3,404 Error,2015-12-22 13:29:46,2015-12-22 11:29:46,101.226.66.174,,,/sharecdn.social9.com/v1/social9.min.js,http://www.selectsifiso.net//sharecdn.social9.com/v1/social9.min.js?ver=e48dce06b6039f1469f966c697722c40,query_string=ver=e48dce06b6039f1469f966c697722c40
four_oh_four,3,404 Error,2015-12-22 13:29:49,2015-12-22 11:29:49,101.226.66.174,,,/s7.addthis.com/js/300/addthis_widget.js,http://www.selectsifiso.net//s7.addthis.com/js/300/addthis_widget.js#pubid=ra-554794b55a06e901,query_string=
four_oh_four,3,404 Error,2015-12-22 13:29:54,2015-12-22 11:29:54,101.226.66.174,,,/s7.addthis.com/js/300/addthis_widget.js,http://www.selectsifiso.net//s7.addthis.com/js/300/addthis_widget.js#pubid=ra-554794b55a06e901,query_string=
four_oh_four,3,404 Error,2015-12-22 23:39:30,2015-12-22 21:39:30,110.164.189.12,,,/tag/destination-/,,query_string=option=com_myblog&task=ajaxupload
four_oh_four,3,404 Error,2015-12-22 23:39:32,2015-12-22 21:39:32,110.164.189.12,,,/cache/version.php,,query_string=x1
four_oh_four,3,404 Error,2015-12-22 23:39:43,2015-12-22 21:39:43,110.164.189.12,,,/media/system/css/,,query_string=x1
four_oh_four,3,404 Error,2015-12-22 23:40:08,2015-12-22 21:40:08,110.164.189.12,,,/images/version.xxxjpg,,query_string=x1
four_oh_four,3,404 Error,2015-12-22 23:40:23,2015-12-22 21:40:23,110.164.189.12,,,/images/stories/version.xxxjpg,,query_string=x1
four_oh_four,3,404 Error,2015-12-22 23:40:34,2015-12-22 21:40:34,110.164.189.12,,,/images/0/version.xxxjpg,,query_string=x1
four_oh_four,3,404 Error,2015-12-22 23:40:48,2015-12-22 21:40:48,110.164.189.12,,,/images/blog/version.xxxjpg,,query_string=x1
four_oh_four,3,404 Error,2015-12-23 08:28:45,2015-12-23 06:28:45,27.0.123.42,,,/common_configuration.php,http://selectsifiso.net/common_configuration.php,query_string=
four_oh_four,3,404 Error,2015-12-23 22:17:29,2015-12-23 20:17:29,37.122.166.104,,,/resource/UserFollowResource/create/,http://www.selectsifiso.net/tag/read-sql-query/,query_string=
away_mode,5,Away Mode Triggered,2015-12-25 00:54:05,2015-12-24 22:54:05,195.154.168.82,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
four_oh_four,3,404 Error,2015-12-25 17:09:42,2015-12-25 15:09:42,207.46.13.161,,,/internacional/public/office/js/jquery.timeago.iso.js,,query_string=
four_oh_four,3,404 Error,2015-12-25 17:09:43,2015-12-25 15:09:43,207.46.13.161,,,/internacional/public/office/site/fonts/MyriadPro-Regular/myriadpro-regular.css,,query_string=
four_oh_four,3,404 Error,2015-12-25 17:18:37,2015-12-25 15:18:37,40.77.167.31,,,/internacional/public/office/site/fonts/Festus-Regular/stylesheet.css,,query_string=
four_oh_four,3,404 Error,2015-12-26 00:50:24,2015-12-25 22:50:24,172.246.109.47,,,/fckeditor/editor/,,query_string=
four_oh_four,3,404 Error,2015-12-26 08:23:46,2015-12-26 06:23:46,182.185.80.171,,,/40as3d.php,http://selectsifiso.net/40as3d.php,query_string=
four_oh_four,3,404 Error,2015-12-26 12:12:49,2015-12-26 10:12:49,172.246.109.47,,,/js/fckeditor/editor/,,query_string=
four_oh_four,3,404 Error,2015-12-26 17:22:39,2015-12-26 15:22:39,193.201.227.91,,,//,,query_string=gf_page=upload
four_oh_four,3,404 Error,2015-12-26 23:19:03,2015-12-26 21:19:03,172.246.109.47,,,/fckeditor/editor/,,query_string=
four_oh_four,3,404 Error,2015-12-27 03:57:31,2015-12-27 01:57:31,172.246.109.47,,,/js/fckeditor/editor/,,query_string=
four_oh_four,3,404 Error,2015-12-27 08:27:15,2015-12-27 06:27:15,172.246.109.47,,,/includes/fckeditor/editor/,,query_string=
away_mode,5,Away Mode Triggered,2015-12-29 03:07:18,2015-12-29 01:07:18,46.119.58.184,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
brute_force,5,Invalid Login Attempt,2015-12-29 03:07:18,2015-12-29 01:07:18,46.119.58.184,admin,,,,
lockout,10,Host or User Lockout,2015-12-29 03:07:18,2015-12-29 01:07:18,46.119.58.184,,,,,expires=2015-12-29 03:22:18expires_gmt=2015-12-29 01:22:18type=brute_force
four_oh_four,3,404 Error,2015-12-30 01:25:26,2015-12-29 23:25:26,68.180.229.233,,,/,,query_string=page_id=1197
four_oh_four,3,404 Error,2015-12-30 11:35:35,2015-12-30 09:35:35,176.9.57.228,,,/magmi/web/magmi.php,,query_string=
four_oh_four,3,404 Error,2015-12-30 11:35:37,2015-12-30 09:35:37,176.9.57.228,,,/nl-confirm-signup/magmi/web/magmi.php,,query_string=
four_oh_four,3,404 Error,2015-12-30 19:24:27,2015-12-30 17:24:27,207.46.13.97,,,/,,query_string=page_id=827
four_oh_four,3,404 Error,2015-12-30 23:05:02,2015-12-30 21:05:02,104.43.163.249,,,/bitrix/admin/,http://www.selectsifiso.net/bitrix/admin/,query_string=
four_oh_four,3,404 Error,2015-12-31 23:13:25,2015-12-31 21:13:25,86.38.119.189,,,/logs/access_151229.log,http://selectsifiso.net/logs/access_151229.log,query_string=
