log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
brute_force,5,Invalid Login Attempt,2016-01-03 16:54:49,2016-01-03 14:54:49,154.69.100.18,sifada,316,,,
lockout,10,Host or User Lockout,2016-01-03 16:54:49,2016-01-03 14:54:49,,,316,,,expires=2016-01-03 19:00:49expires_gmt=2016-01-03 17:00:49type=brute_force
brute_force,5,Invalid Login Attempt,2016-01-04 08:35:39,2016-01-04 06:35:39,41.0.69.247,sifada,316,,,
lockout,10,Host or User Lockout,2016-01-04 08:35:39,2016-01-04 06:35:39,,,316,,,expires=2016-01-04 10:41:39expires_gmt=2016-01-04 08:41:39type=brute_force
